absensi,nilai
37,40
1,1
42,24
51,12
88,3
0,43
30,15
56,78
44,99
49,23
98,33
100,47
70,76
0,48
36,65
79,85
78,79
40,100
13,44
88,65
71,40
37,2
12,74
73,75
48,31
52,42
36,43
67,91
5,33
80,85
54,74
78,58
53,49
55,55
66,38
6,38
22,26
92,73
54,20
87,89
100,99
83,48
35,22
81,79
57,52
71,73
20,10
21,100
87,67
95,9
85,54
56,42
16,63
17,66
43,54
5,79
73,24
41,65
91,51
94,42
64,3
37,18
97,25
41,43
34,95
3,31
16,43
15,23
3,12
66,33
49,95
97,31
95,14
3,65
45,62
19,38
23,18
81,100
3,100
32,79
12,74
30,16
80,61
34,41
55,85
20,21
37,69
80,84
13,38
20,24
79,74
35,59
43,18
36,90
94,52
46,82
3,70
87,19
86,2
9,74
98,35
20,68
50,22
47,2
66,83
60,54
43,99
9,73
62,55
19,67
20,87
51,38
70,78
61,47
43,70
40,68
47,80
68,32
84,59
31,17
100,68
60,46
2,36
55,100
19,50
27,5
76,41
54,68
2,71
2,64
30,11
84,97
3,91
44,56
99,10
6,39
58,24
40,41
24,93
7,62
25,18
67,24
82,13
15,78
50,25
71,52
4,58
74,50
80,34
82,82
61,85
2,75
80,68
64,25
14,54
62,79
29,58
66,53
97,67
78,19
74,60
29,49
38,68
50,71
63,1
65,68
100,24
40,82
30,59
58,91
8,25
37,2
17,12
71,43
12,36
47,46
39,81
61,41
59,4
74,9
91,15
86,23
39,20
29,9
72,14
65,77
72,38
73,46
5,25
71,93
9,48
87,23
94,72
93,28
62,22
61,5
35,48
67,52
33,7
83,0
60,80
6,16
76,66
94,90
48,58
86,99
74,2
83,23
27,5
72,86
97,6
99,89
12,51
16,21
25,100
7,43
15,38
58,5
100,73
100,5
99,18
22,100
55,20
73,2
67,84
90,77
25,87
26,68
33,15
34,59
5,56
22,29
94,63
5,81
2,7
6,82
83,32
54,59
45,75
48,86
8,72
0,14
43,18
69,13
17,62
90,63
46,74
56,79
97,48
43,53
16,55
11,58
36,78
87,62
68,81
22,32
38,34
17,94
6,20
51,90
10,72
74,30
59,39
18,3
88,85
23,56
77,89
88,48
92,39
3,67
79,69
0,96
15,19
30,4
77,71
17,19
3,77
53,76
62,94
25,28
44,68
75,43
23,53
58,63
76,20
63,94
100,69
4,24
24,7
73,99
47,75
29,10
27,72
93,3
6,78
23,82
1,37
2,17
81,52
74,15
81,77
4,43
41,41
19,89
43,59
45,99
45,21
37,56
16,45
56,32
82,76
55,98
18,30
28,8
44,4
33,26
31,75
63,80
97,88
28,89
91,11
42,48
52,99
51,66
4,56
13,95
81,12
15,83
57,61
64,62
11,81
5,37
94,69
24,99
40,33
56,80
82,67
59,53
2,77
66,83
67,81
12,39
75,27
5,87
59,56
7,42
7,47
3,87
50,71
18,69
59,84
44,87
7,20
3,32
85,22
14,64
40,24
44,75
19,74
99,16
75,91
57,73
86,80
17,54
33,4
42,67
89,1
87,9
95,70
42,37
85,38
77,19
42,12
77,15
77,19
39,9
73,24
1,52
69,94
59,44
76,19
46,91
43,7
84,62
24,48
8,82
41,72
63,96
81,19
94,18
12,81
49,25
66,72
26,36
43,45
56,58
49,2
59,32
12,62
8,26
32,92
83,98
88,0
25,61
76,63
75,21
61,97
14,75
88,20
77,80
39,94
69,45
88,13
97,11
21,37
68,47
44,13
49,1
71,81
81,96
36,20
71,5
16,21
35,35
3,29
95,77
28,17
48,28
52,62
1,52
22,35
82,80
2,15
47,36
65,34
5,6
26,20
17,51
42,15
25,28
97,20
95,3
1,12
66,83
67,29
60,50
5,56
42,50
57,82
65,35
8,46
9,7
28,72
52,67
88,1
9,14
44,76
71,39
58,42
60,11
4,74
67,71
73,27
23,48
100,89
58,0
74,37
12,60
6,17
90,5
60,63
58,37
52,7
19,47
43,76
72,21
80,22
48,14
20,5
26,18
26,11
22,94
63,58
15,31
63,19
56,13
24,51
20,77
75,16
99,73
43,26
66,58
56,97
85,16
83,78
0,50
3,70
1,65
54,5
